"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01 Sep 2022","1.723,00","1.719,85","1.729,45","1.699,25","198,62K","-0,19%"
"01 Agu 2022","1.726,20","1.778,60","1.824,60","1.717,30","176,73K","-2,95%"
"01 Jul 2022","1.778,70","1.807,35","1.815,10","1.678,60","4,03M","-1,58%"
"01 Jun 2022","1.807,30","1.840,00","1.882,50","1.802,50","3,33M","-2,22%"
"01 Mei 2022","1.848,40","1.896,20","1.910,70","1.785,00","3,83M","-3,31%"
"01 Apr 2022","1.911,70","1.942,40","2.003,00","1.870,90","3,15M","-2,16%"
"01 Mar 2022","1.954,00","1.908,40","2.078,80","1.888,30","4,88M","2,80%"
"01 Feb 2022","1.900,70","1.798,90","1.976,50","1.788,50","3,90M","5,81%"
"01 Jan 2022","1.796,40","1.830,10","1.854,20","1.780,60","4,33M","-1,76%"
"01 Des 2021","1.828,60","1.777,40","1.831,40","1.753,00","2,88M","2,93%"
"01 Nov 2021","1.776,50","1.785,30","1.879,50","1.758,50","4,73M","-0,41%"
"01 Okt 2021","1.783,90","1.757,20","1.815,50","1.745,40","3,92M","1,53%"
"01 Sep 2021","1.757,00","1.816,70","1.836,90","1.721,10","3,65M","-3,36%"
"01 Agu 2021","1.818,10","1.817,00","1.835,90","1.677,90","3,66M","0,05%"
"01 Jul 2021","1.817,20","1.770,80","1.837,50","1.765,90","4,37M","2,57%"
"01 Jun 2021","1.771,60","1.906,80","1.919,20","1.750,10","4,62M","-7,02%"
"01 Mei 2021","1.905,30","1.768,10","1.913,30","1.765,60","4,94M","7,78%"
"01 Apr 2021","1.767,70","1.709,00","1.798,40","1.706,40","3,43M","3,04%"
"01 Mar 2021","1.715,60","1.732,80","1.757,40","1.673,30","5,08M","-0,76%"
"01 Feb 2021","1.728,80","1.865,00","1.876,00","1.714,90","4,33M","-6,57%"
"01 Jan 2021","1.850,30","1.908,20","1.962,50","1.800,80","4,89M","-2,36%"
"01 Des 2020","1.895,10","1.780,30","1.912,00","1.778,40","3,82M","6,41%"
"01 Nov 2020","1.780,90","1.877,00","1.966,10","1.767,20","4,94M","-5,27%"
"01 Okt 2020","1.879,90","1.891,20","1.939,40","1.859,20","4,42M","-0,82%"
"01 Sep 2020","1.895,50","1.973,70","2.001,20","1.851,00","5,92M","-4,20%"
"01 Agu 2020","1.978,60","1.997,40","2.089,20","1.874,20","7,18M","-0,37%"
"01 Jul 2020","1.985,90","1.798,90","2.005,40","1.766,30","5,81M","10,30%"
"01 Jun 2020","1.800,50","1.749,80","1.804,00","1.671,70","4,15M","2,79%"
"01 Mei 2020","1.751,70","1.693,50","1.775,80","1.676,00","4,06M","3,39%"
"01 Apr 2020","1.694,20","1.589,40","1.788,80","1.576,00","3,96M","6,11%"
"01 Mar 2020","1.596,60","1.592,80","1.704,30","1.450,90","8,47M","1,91%"
"01 Feb 2020","1.566,70","1.597,80","1.691,70","1.551,10","7,43M","-1,34%"
"01 Jan 2020","1.587,90","1.521,00","1.613,30","1.519,70","8,01M","4,25%"
"01 Des 2019","1.523,10","1.470,30","1.529,00","1.459,80","5,07M","3,42%"
"01 Nov 2019","1.472,70","1.515,10","1.519,00","1.446,20","7,05M","-2,78%"
"01 Okt 2019","1.514,80","1.478,00","1.525,80","1.465,00","7,63M","2,84%"
